ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
T001,Halve rondes,,Per persoon om en om,,,,,
T002,Treintje,,achterste loopt groep voorbij en gaat op kop verder.,,,,,
T003,Duo: 800 m / Core,,"1 persoon loopt 2 rondes rustig (dribbel) tempo met versnelling op de rechte stukken.
Ander persoon persoon doet core stability:<br>
- Plank (30 sec),- Sqauts (10 x) <br>
- Brug met armen/benen strek, Buikspier-grijp (10 links, 10 rechts)<br>
- Omgekeerde brug, zijwaartse plank<br>",,,,,
,,,,,,,,
H001,Heen en terug,,"5, 4, 3, 2, 1 min. --> tempo moet heen en terug hetzelfde zijn",,,,,
H002,Piramide vorm 1,,"100 (p100), 200 (p200), 400 (p300), 600 (p400), 800 (p600), 600 (p400), 400 (p300), 200 (p200), 100 (p100)",,,,,
H003,Piramide vorm 2,,,,,,,
H004,Duo's in groep. 1 loopt ander wandelt/dribbelt,,Lopen in tegengesteld richt van de groep.,,,,,
H005,Estafette met drietallen,,"Afstand 200 meter per persoon. Ieder loopt 2x.
Bij de start staan 2 personen, 1 aan de andere kant (200m)",,,,,
H006,4 tempo's vorm,,"100m wandel, 100m dribbel, 100m extensief, 100m intensief",,,,,
H007,2 tempo's vorm,,"6x(50m int. – 100m ext. - 50m int.) - 200p
<br> 
4x(100m int. – 200m ext. - 100m int.) -  300p
<br>
2x(200m int. – 400m ext. - 200m int.) - 400p
",,,,,HP.4B.406
H008,200 – 500 -1000,,"6x200 (200p)
4x500 (300p)
1x 1000m – uitlopen",,,,,
H009,200 – 500,,"8x200 (p200) – 4x500 (p300))
200 in 5km tempo
500 in 10km tempo – laatste 100 versnellen",,,,,
H010,"Keuze: 200, 400 of 1000-tjes",,"Keuze:
16x200 (p200)
10x400 (p300)
5x1000 (p400)

200 in 5km tempo
400 in 10 km tempo
1000 in 21km tempo",,,,,
H011,Pionnen estafette,,"Plaats pionen verdeeld over de hele baan. Aantal is ong. de helft van het aantal deelnemers (of iets minder).
De vrije mensen lopen rondes en stoppen of eigen initiatief bij een (bezette) pion om te rusten. De andere afgeloste persoon start zijn looprondes.
Tempo extensief (21 km tempo)",,,,,
H012,Pionnendans maar dan met pionnen op de 400m baan.,,"Stoelendans, maar dan met pionnen op de 400m baan. Zet pionnen uit op de 400m baan, aantal 1 minder dan het aantal deelnemers.
Bij elke stop 1 pion minder en 1 persoon minder. 
Terug lopen mag niet. Wel oversteken.",,,,,
H013,"50/100/200/400 series
Afsluiting 1000m",,"4x(
8x50m p50 - 
4x100m p100 - 
2x200m p200 -
1x400m p400
)

1x 1000m op tijd",,,,,
H033,Coopertest,,"100 (p100), 200 (p200), 400 (p300), 600 (p400), 800 (p600), 600 (p400), 400 (p300), 200 (p200), 100 (p100)",,,,,
,,,,,,,,
,,,,,,,,
